Team;TS%;eFG%;Total S%;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;PPS;FIC40;ORtg;DRtg;eDiff;Poss;Pace;Season
Portland;.531;.488;158.5;26.3;72.8;49.0;56.2;13.4;8.7;7.8;1.2;58.3;105.7;106.4;-0.7;6067.6;91.2;2011-2012
Minnesota;.524;.477;153.7;27.5;73.0;50.2;54.8;14.0;7.0;6.6;1.2;57.0;104.3;106.6;-2.3;6197.2;93.3;2011-2012
Toronto;.518;.475;154.9;25.9;75.4;50.9;60.9;14.8;7.2;8.2;1.2;52.7;100.8;104.5;-3.7;5937.2;89.3;2011-2012
Golden State;.539;.505;161.5;22.9;69.1;46.1;59.1;13.3;8.6;8.7;1.2;59.7;105.4;109.1;-3.7;6123.5;92.3;2011-2012
New Orleans;.517;.476;154.1;27.5;73.1;50.7;59.5;15.2;8.3;8.2;1.2;53.6;100.9;105.1;-4.2;5865.4;88.3;2011-2012
Washington;.508;.472;148.8;27.3;70.9;48.9;52.3;14.2;8.7;10.1;1.1;54.3;101.0;106.2;-5.2;6116.6;92.5;2011-2012
Detroit;.510;.468;153.5;28.1;72.8;49.7;53.8;15.0;7.8;6.9;1.1;50.1;101.0;106.3;-5.3;5936.6;89.2;2011-2012
Sacramento;.510;.472;148.7;29.1;70.5;48.8;51.0;13.0;8.9;7.4;1.1;57.3;103.8;109.8;-6.0;6278.4;94.7;2011-2012
New Jersey;.516;.473;154.4;27.8;70.7;48.6;58.0;14.3;8.3;6.3;1.2;53.4;102.9;109.6;-6.6;5968.0;90.1;2011-2012
Cleveland;.505;.463;148.4;28.9;72.2;49.7;57.9;14.3;7.7;6.2;1.1;52.2;101.1;108.9;-7.8;6074.1;91.3;2011-2012
Charlotte;.483;.439;145.5;23.6;70.9;46.4;60.5;13.9;6.6;8.5;1.1;48.1;95.2;110.4;-15.2;6031.0;91.1;2011-2012
Miami;.573;.524;162.0;25.2;75.5;51.8;54.1;13.5;7.2;8.5;1.3;62.8;111.7;103.5;8.2;7491.9;90.9;2010-2011
Chicago;.541;.501;156.6;29.4;76.2;53.5;60.1;13.5;7.9;9.0;1.2;63.1;108.3;100.3;8.0;7465.6;90.4;2010-2011
L.A. Lakers;.545;.502;159.4;29.2;72.3;51.5;57.6;12.3;8.0;8.1;1.2;64.9;111.0;104.3;6.7;7496.8;90.7;2010-2011
San Antonio;.567;.527;163.8;24.9;74.6;50.4;58.3;12.8;7.9;6.7;1.3;65.7;111.8;105.6;6.2;7607.6;92.3;2010-2011
Orlando;.554;.521;151.9;26.1;76.9;52.1;55.3;14.3;7.2;7.5;1.3;59.9;107.9;102.0;5.9;7537.9;91.2;2010-2011
Boston;.561;.519;162.1;21.1;74.7;49.5;63.5;14.5;9.1;6.8;1.3;60.6;106.2;100.3;5.9;7448.3;90.4;2010-2011
Denver;.574;.526;162.9;23.9;75.4;50.4;57.6;13.1;7.7;6.8;1.3;65.7;112.3;107.3;5.0;7847.5;95.6;2010-2011
Dallas;.565;.525;161.6;24.1;74.8;50.4;63.7;13.6;7.4;6.8;1.3;64.5;109.7;105.0;4.6;7495.1;91.3;2010-2011
Oklahoma City;.561;.501;163.4;27.4;73.6;51.3;54.5;13.1;8.4;8.9;1.3;63.3;111.2;107.2;4.0;7728.1;92.7;2010-2011
Memphis;.534;.493;155.4;28.9;72.5;50.5;52.8;13.0;10.1;9.0;1.2;60.6;107.6;105.1;2.5;7612.8;91.9;2010-2011
Houston;.550;.503;162.3;27.4;72.7;50.0;61.7;12.3;7.4;6.5;1.2;65.6;111.3;109.0;2.3;7803.2;94.2;2010-2011
Portland;.533;.486;159.6;29.5;72.0;49.8;58.8;12.6;9.1;7.5;1.2;58.8;108.8;107.1;1.7;7255.6;87.9;2010-2011
Philadelphia;.535;.494;158.7;24.6;74.5;49.6;59.6;12.3;8.2;6.7;1.2;61.3;106.6;105.0;1.6;7613.7;91.7;2010-2011
New Orleans;.537;.493;158.5;25.1;76.2;50.5;57.4;12.8;8.5;7.6;1.2;57.3;106.2;105.2;1.0;7330.2;88.7;2010-2011
New York;.561;.513;163.4;24.2;71.9;47.9;56.0;12.6;7.9;8.8;1.3;64.3;110.9;110.1;0.8;7877.0;95.6;2010-2011
Atlanta;.542;.501;159.3;23.4;74.6;49.2;60.7;13.5;6.8;6.6;1.2;57.5;106.1;107.0;-0.9;7343.2;89.3;2010-2011
Phoenix;.559;.522;160.7;23.7;71.6;47.6;60.4;13.2;6.9;6.6;1.3;62.7;109.5;110.4;-0.9;7867.1;94.4;2010-2011
Milwaukee;.511;.467;152.8;24.7;74.8;49.1;54.9;13.0;8.3;7.9;1.2;53.0;101.6;102.5;-0.9;7416.5;89.8;2010-2011
Indiana;.533;.486;157.9;25.9;74.1;50.2;53.6;14.1;7.5;8.4;1.2;58.0;104.8;106.0;-1.1;7806.2;94.7;2010-2011
Utah;.544;.498;158.3;27.0;71.7;49.1;62.7;13.5;8.4;9.9;1.2;60.5;108.1;110.1;-2.0;7541.8;91.0;2010-2011
Golden State;.544;.510;161.4;26.7;69.3;47.5;56.8;13.3;9.4;7.8;1.2;62.3;108.2;110.7;-2.4;7833.7;94.8;2010-2011
L.A. Clippers;.535;.496;150.2;28.4;73.2;51.0;60.1;15.1;7.7;7.9;1.2;57.9;105.3;108.7;-3.3;7680.9;92.8;2010-2011
Detroit;.533;.495;157.3;27.4;72.1;48.7;56.6;12.5;8.1;6.6;1.2;56.8;107.7;111.7;-4.0;7384.7;89.2;2010-2011
Charlotte;.528;.482;153.4;25.7;75.2;50.3;60.1;14.1;7.1;8.9;1.2;55.4;103.4;107.8;-4.4;7397.7;89.6;2010-2011
Sacramento;.519;.480;151.9;29.9;74.4;51.6;53.4;14.4;7.7;7.1;1.2;56.3;103.5;109.0;-5.6;7876.2;95.2;2010-2011
Toronto;.533;.491;153.6;28.2;72.0;49.5;57.1;13.7;7.6;6.7;1.2;57.2;106.1;112.9;-6.7;7653.3;92.9;2010-2011
New Jersey;.517;.474;154.2;26.1;74.2;49.4;59.0;13.4;6.1;7.4;1.2;52.9;103.1;109.9;-6.8;7492.5;89.9;2010-2011
Minnesota;.526;.483;158.5;29.6;73.7;51.1;53.4;15.1;7.5;8.1;1.2;57.0;104.2;111.1;-6.8;7950.3;96.5;2010-2011
Washington;.513;.471;151.9;28.0;70.5;48.5;52.2;13.9;8.5;9.6;1.2;54.5;102.4;110.2;-7.8;7792.1;93.8;2010-2011
Cleveland;.518;.472;152.1;24.2;73.3;48.1;59.6;13.4;7.1;6.6;1.2;54.4;102.2;111.8;-9.6;7659.1;93.0;2010-2011
Orlando;.573;.536;156.9;24.6;77.4;51.9;53.7;13.6;6.7;8.6;1.3;63.8;111.4;103.3;8.1;7565.9;92.0;2009-2010
Cleveland;.570;.532;158.5;25.1;77.2;52.4;59.2;13.4;7.5;8.3;1.3;65.4;111.2;104.1;7.1;7528.8;91.3;2009-2010
Utah;.565;.524;159.5;26.8;75.6;51.9;67.8;14.2;8.8;8.1;1.3;67.6;110.7;105.0;5.7;7722.1;93.8;2009-2010
San Antonio;.552;.515;157.2;26.8;76.3;52.0;58.1;12.9;6.8;6.9;1.2;62.8;110.0;104.5;5.5;7554.8;91.7;2009-2010
Phoenix;.585;.546;167.5;27.6;70.8;50.4;57.3;13.6;6.1;7.5;1.3;68.6;115.3;110.2;5.1;7836.7;95.3;2009-2010
Atlanta;.545;.506;158.6;28.2;72.7;50.2;56.2;11.4;7.9;7.9;1.2;63.7;111.9;106.7;5.1;7454.3;90.1;2009-2010
L.A. Lakers;.538;.496;156.3;27.6;74.4;51.2;55.0;12.4;8.0;7.6;1.2;63.1;108.8;103.7;5.0;7667.0;92.8;2009-2010
Denver;.561;.509;159.9;26.1;72.4;49.5;55.0;12.7;8.8;7.9;1.3;63.8;111.8;107.5;4.3;7810.5;94.8;2009-2010
Boston;.564;.522;157.7;22.8;73.8;49.1;63.5;14.5;9.3;8.0;1.3;61.6;107.7;103.8;4.0;7552.2;91.6;2009-2010
Portland;.547;.499;160.5;28.2;74.8;51.3;56.3;12.1;7.2;7.1;1.2;58.6;110.9;107.1;3.7;7257.5;87.7;2009-2010
Oklahoma City;.547;.494;160.7;28.6;73.6;51.7;53.5;13.9;8.5;9.1;1.3;61.7;108.3;104.6;3.7;7681.1;93.1;2009-2010
Dallas;.552;.506;165.3;24.3;73.7;49.3;61.1;12.3;8.1;8.5;1.2;65.5;109.2;106.2;2.9;7662.3;92.5;2009-2010
Miami;.537;.496;155.6;26.1;74.9;50.7;51.9;12.8;8.1;9.4;1.2;58.0;106.6;104.1;2.5;7423.3;89.6;2009-2010
Milwaukee;.518;.482;154.6;26.2;76.4;50.1;57.0;12.3;7.6;7.6;1.1;57.3;104.9;103.1;1.8;7633.6;91.7;2009-2010
Charlotte;.538;.490;155.0;26.5;74.2;50.7;58.0;15.1;8.5;9.2;1.2;56.7;104.4;102.8;1.6;7484.1;90.4;2009-2010
Houston;.537;.494;157.0;26.9;73.8;49.5;57.9;13.2;7.5;5.8;1.2;59.4;107.6;108.0;-0.4;7799.7;94.0;2009-2010
Memphis;.536;.494;153.9;31.3;73.3;52.3;47.9;13.7;8.3;7.6;1.2;59.0;108.3;109.9;-1.6;7759.7;93.6;2009-2010
Chicago;.520;.477;153.5;26.6;74.8;51.0;55.3;13.3;6.9;9.2;1.2;58.5;103.5;105.3;-1.7;7720.7;93.1;2009-2010
Toronto;.564;.521;161.7;24.7;72.9;49.5;56.4;12.7;6.1;7.4;1.3;61.7;111.3;113.2;-1.9;7669.5;93.1;2009-2010
New Orleans;.543;.506;160.6;24.8;73.8;48.9;57.5;12.7;8.2;5.8;1.2;60.5;107.4;110.1;-2.6;7652.7;92.6;2009-2010
Indiana;.536;.491;156.5;21.6;73.0;47.1;57.3;13.8;7.4;8.0;1.2;58.2;103.7;106.8;-3.1;7968.6;97.1;2009-2010
Golden State;.557;.514;162.7;20.9;68.5;44.4;55.2;13.1;9.3;6.2;1.3;62.5;108.1;111.7;-3.6;8249.7;100.4;2009-2010
New York;.547;.509;158.3;23.5;72.1;47.4;56.7;13.0;7.5;5.7;1.2;59.8;107.6;111.6;-4.0;7783.9;94.0;2009-2010
Philadelphia;.534;.496;155.9;27.6;73.2;50.0;55.8;13.7;8.8;8.7;1.2;59.2;106.1;110.3;-4.2;7556.2;91.6;2009-2010
Sacramento;.528;.491;153.1;27.8;73.5;50.3;53.4;13.6;7.3;6.7;1.2;56.6;105.3;109.9;-4.6;7785.3;94.0;2009-2010
Washington;.524;.481;156.4;27.6;72.4;49.7;51.8;13.9;6.5;8.1;1.2;53.9;104.2;109.4;-5.2;7571.9;91.7;2009-2010
Detroit;.515;.474;148.8;30.3;73.4;50.5;54.1;12.8;8.2;6.7;1.2;52.9;105.6;111.4;-5.7;7297.4;88.5;2009-2010
L.A. Clippers;.529;.491;151.6;27.1;74.0;50.4;60.3;14.8;7.0;8.7;1.2;58.2;103.3;110.1;-6.9;7601.0;92.6;2009-2010
New Jersey;.509;.458;152.7;25.1;71.8;47.4;54.7;13.7;7.6;7.4;1.2;51.3;100.6;110.5;-9.9;7529.0;91.4;2009-2010
Minnesota;.518;.478;153.5;26.7;73.6;49.7;52.4;14.6;7.6;5.8;1.2;54.2;101.6;111.6;-9.9;7920.4;96.1;2009-2010
Cleveland;.560;.519;161.8;27.7;74.6;52.0;55.0;12.5;8.1;8.7;1.3;63.3;112.4;102.4;10.0;7313.6;88.7;2008-2009
Boston;.571;.528;164.7;27.9;75.6;52.8;60.6;15.0;8.3;7.8;1.3;62.3;110.5;102.3;8.2;7487.4;90.4;2008-2009
L.A. Lakers;.555;.513;160.5;29.4;73.0;51.4;57.7;12.3;9.2;8.2;1.3;68.7;112.8;104.7;8.1;7772.5;94.3;2008-2009
Orlando;.559;.520;155.2;24.0;75.9;50.7;54.4;13.4;7.5;8.0;1.3;62.1;109.2;101.9;7.2;7591.1;92.3;2008-2009
Portland;.553;.511;161.3;32.6;75.0;53.5;55.2;12.6;7.7;8.0;1.3;61.4;113.8;107.7;6.1;7164.2;86.7;2008-2009
Houston;.548;.501;163.3;26.4;75.3;51.9;56.2;13.6;7.4;6.5;1.2;60.1;108.4;104.0;4.4;7443.5;90.2;2008-2009
San Antonio;.548;.513;161.2;22.1;78.0;50.4;57.1;11.7;6.5;6.1;1.2;59.8;108.5;104.3;4.2;7332.3;88.4;2008-2009
Denver;.563;.512;160.1;27.5;71.7;50.2;59.5;14.2;9.2;9.7;1.3;64.4;110.4;106.8;3.6;7749.2;94.3;2008-2009
Utah;.554;.504;159.5;28.2;72.7;50.5;64.4;13.7;9.3;7.4;1.3;64.3;110.1;107.2;2.8;7716.5;93.2;2008-2009
Dallas;.550;.504;163.0;26.6;74.6;50.8;56.9;12.1;7.8;8.0;1.2;64.5;110.5;108.4;2.1;7547.7;91.5;2008-2009
Phoenix;.584;.545;163.1;27.7;71.7;50.6;56.5;14.4;7.5;7.8;1.3;67.6;113.6;111.6;2.0;7900.3;96.0;2008-2009
New Orleans;.548;.501;162.8;24.6;74.9;49.8;55.3;12.5;8.2;7.2;1.2;57.9;108.7;107.0;1.8;7227.3;87.8;2008-2009
Atlanta;.546;.504;156.1;26.0;71.6;48.9;56.1;12.5;8.2;7.4;1.2;59.8;109.3;107.6;1.8;7358.7;89.6;2008-2009
Miami;.540;.500;156.7;24.6;72.9;48.6;55.1;12.1;8.7;9.2;1.2;59.2;107.8;107.6;0.3;7475.1;89.9;2008-2009
Philadelphia;.532;.485;152.2;31.3;71.4;51.2;55.0;13.4;8.9;8.5;1.2;58.6;107.9;107.8;0.1;7404.4;90.0;2008-2009
Chicago;.541;.493;163.4;28.0;70.9;49.6;55.4;13.3;8.0;8.3;1.2;60.8;108.4;108.7;-0.3;7728.4;93.1;2008-2009
Detroit;.524;.483;155.5;27.9;74.0;50.6;56.7;11.7;6.9;7.3;1.2;56.6;107.4;108.0;-0.6;7194.3;86.7;2008-2009
Indiana;.545;.501;164.0;25.4;74.5;49.8;55.1;13.1;7.2;8.1;1.2;62.2;108.0;109.1;-1.1;7978.4;96.6;2008-2009
Milwaukee;.531;.483;158.9;27.8;74.0;49.9;59.9;13.1;8.0;6.5;1.2;56.8;106.7;107.9;-1.2;7628.5;92.6;2008-2009
Charlotte;.536;.494;156.1;27.7;73.0;50.5;60.7;15.1;7.9;8.2;1.2;54.6;104.7;106.1;-1.4;7334.5;88.3;2008-2009
New York;.544;.503;159.0;24.4;72.7;47.8;55.1;12.9;7.7;3.8;1.2;60.2;108.1;110.8;-2.7;7979.7;96.7;2008-2009
New Jersey;.543;.497;160.2;25.2;73.5;49.0;55.9;12.7;7.5;8.1;1.2;57.0;108.3;111.0;-2.7;7427.8;89.9;2008-2009
Toronto;.542;.494;165.4;24.0;73.7;49.1;60.1;12.8;6.9;7.6;1.2;60.2;107.0;110.0;-3.0;7591.7;92.0;2008-2009
Golden State;.549;.497;162.2;26.1;68.1;47.2;53.0;12.9;7.9;9.2;1.3;63.3;109.5;113.3;-3.8;8132.2;98.2;2008-2009
Minnesota;.526;.481;156.3;27.7;75.0;50.5;56.1;13.3;6.8;6.3;1.2;55.2;106.1;111.4;-5.3;7558.0;91.6;2008-2009
Memphis;.533;.486;157.0;25.8;73.5;49.3;49.7;14.8;8.3;7.9;1.2;51.2;103.5;109.5;-6.0;7439.5;90.2;2008-2009
Oklahoma City;.521;.471;157.8;28.6;73.9;50.8;55.5;14.9;7.9;6.9;1.2;55.5;102.9;109.4;-6.5;7725.1;93.6;2008-2009
Washington;.524;.480;154.7;27.7;71.4;49.0;54.8;13.2;8.3;7.6;1.2;55.8;105.4;113.6;-8.2;7470.5;91.0;2008-2009
Sacramento;.542;.491;161.3;24.5;69.9;47.0;54.1;14.2;7.3;6.5;1.2;54.0;105.5;114.7;-9.2;7814.4;94.2;2008-2009
L.A. Clippers;.520;.481;153.1;25.1;71.2;47.5;58.3;14.0;7.5;9.0;1.2;55.2;102.3;111.7;-9.4;7626.6;92.1;2008-2009
Boston;.569;.522;162.7;26.6;74.4;51.9;61.4;14.7;9.3;7.9;1.3;63.1;110.2;98.9;11.2;7483.8;90.9;2007-2008
Detroit;.539;.495;159.1;29.4;73.7;51.4;61.1;11.4;8.1;9.4;1.2;63.0;111.4;102.9;8.4;7177.3;87.3;2007-2008
L.A. Lakers;.570;.525;162.4;26.3;73.4;50.8;61.7;12.9;8.3;8.0;1.3;70.5;113.0;105.5;7.6;7878.4;95.6;2007-2008
Utah;.573;.528;162.8;29.5;74.1;52.0;66.0;13.6;9.4;7.3;1.3;68.1;113.8;106.5;7.4;7652.2;93.2;2007-2008
New Orleans;.548;.512;162.3;27.0;75.4;50.6;56.4;11.4;8.6;6.4;1.2;64.1;111.5;105.7;5.8;7417.1;89.9;2007-2008
Orlando;.575;.537;158.2;23.4;74.8;50.2;55.8;13.6;6.8;6.2;1.3;62.6;111.3;105.5;5.8;7695.3;93.4;2007-2008
San Antonio;.543;.504;158.7;23.4;77.1;50.6;58.5;12.6;7.1;6.5;1.2;59.2;107.2;101.8;5.4;7296.8;88.8;2007-2008
Phoenix;.590;.551;167.7;22.4;70.9;48.6;64.5;13.4;6.7;8.6;1.3;72.5;113.3;108.1;5.2;7965.8;96.7;2007-2008
Houston;.528;.492;151.6;29.1;74.8;52.3;58.5;13.0;8.0;7.8;1.2;61.4;106.8;101.6;5.2;7428.5;90.4;2007-2008
Dallas;.554;.502;163.1;26.7;75.0;51.6;56.9;12.3;6.6;7.5;1.3;62.0;111.1;106.1;5.0;7412.0;90.2;2007-2008
Denver;.557;.510;157.5;25.5;72.1;49.3;61.2;12.9;9.1;9.9;1.3;71.0;109.9;106.2;3.7;8255.5;99.8;2007-2008
Toronto;.551;.511;167.3;23.4;75.0;49.1;62.0;11.4;7.6;6.9;1.2;63.7;110.2;107.0;3.2;7455.6;90.2;2007-2008
Golden State;.548;.511;156.0;27.2;70.3;47.9;53.9;11.5;9.1;6.9;1.2;67.1;111.7;109.5;2.2;8151.5;98.9;2007-2008
Philadelphia;.522;.482;148.3;31.8;72.0;51.7;54.7;13.4;9.6;8.1;1.2;58.6;106.5;106.0;0.5;7442.9;90.4;2007-2008
Washington;.535;.489;158.4;28.9;72.8;50.2;53.8;12.5;8.5;8.2;1.2;59.2;109.2;109.6;-0.4;7419.6;89.5;2007-2008
Cleveland;.520;.480;151.3;30.4;75.9;52.4;55.8;13.1;7.7;8.5;1.2;58.1;106.0;106.3;-0.4;7458.8;90.2;2007-2008
Portland;.532;.489;159.3;26.8;71.8;49.4;59.0;12.6;6.3;7.0;1.2;56.5;107.3;108.4;-1.1;7290.8;87.9;2007-2008
Indiana;.540;.498;158.5;24.4;73.9;48.7;60.1;13.5;7.7;7.9;1.2;61.7;106.1;107.5;-1.4;8040.3;97.7;2007-2008
Atlanta;.535;.483;158.3;29.7;71.7;50.8;60.6;14.0;8.0;8.4;1.2;59.9;106.9;108.9;-2.0;7533.6;91.1;2007-2008
Sacramento;.556;.503;163.5;25.2;71.7;48.9;51.5;14.9;8.3;6.5;1.3;56.6;107.4;109.8;-2.4;7827.0;94.7;2007-2008
Chicago;.515;.470;155.4;28.9;73.1;50.2;60.6;13.4;8.3;8.5;1.2;58.2;103.9;107.2;-3.3;7678.9;93.1;2007-2008
Charlotte;.532;.492;153.2;25.6;71.0;48.2;59.1;13.9;8.1;7.7;1.2;56.8;104.6;109.4;-4.7;7605.9;91.8;2007-2008
New Jersey;.528;.481;152.7;26.6;73.8;50.1;67.4;14.2;6.9;7.7;1.2;57.1;103.9;109.4;-5.5;7562.1;91.5;2007-2008
Memphis;.539;.500;152.6;23.8;73.4;48.3;51.4;14.0;6.4;7.1;1.2;56.6;105.0;111.5;-6.5;7865.0;95.3;2007-2008
New York;.518;.475;150.4;28.6;72.7;49.9;51.6;13.4;6.9;4.2;1.2;51.9;104.7;111.9;-7.1;7590.2;91.6;2007-2008
Minnesota;.518;.484;153.7;27.5;73.6;49.8;53.0;13.6;8.2;6.2;1.1;53.7;103.8;111.2;-7.4;7552.2;91.9;2007-2008
Milwaukee;.522;.482;152.6;30.0;73.0;50.6;58.2;13.7;7.2;7.2;1.2;56.0;105.3;112.8;-7.5;7556.2;91.3;2007-2008
L.A. Clippers;.519;.465;154.3;23.1;73.1;47.9;61.4;13.8;7.3;7.5;1.2;54.0;101.2;109.1;-7.8;7598.5;92.1;2007-2008
Seattle;.509;.467;154.7;26.8;73.7;50.3;55.9;14.3;6.7;7.2;1.1;55.9;100.5;109.5;-9.0;7960.9;96.3;2007-2008
Miami;.522;.482;152.8;22.1;71.9;46.6;58.5;14.4;7.9;7.1;1.2;51.2;100.5;110.0;-9.5;7456.1;90.2;2007-2008
San Antonio;.561;.521;160.6;24.2;75.7;51.0;60.5;13.6;7.9;7.8;1.3;62.4;109.2;99.9;9.3;7397.9;89.8;2006-2007
Dallas;.559;.509;165.3;28.7;75.0;52.4;54.2;13.4;7.6;7.9;1.3;60.3;111.3;103.3;8.0;7369.1;89.5;2006-2007
Phoenix;.590;.551;170.2;22.7;71.9;48.6;62.6;13.4;7.0;6.9;1.3;69.7;113.9;106.4;7.6;7932.3;95.6;2006-2007
Chicago;.534;.493;157.9;28.6;74.3;51.6;60.1;14.7;8.3;8.8;1.2;59.7;104.9;99.6;5.3;7718.3;93.6;2006-2007
Houston;.540;.499;157.1;25.7;77.0;51.5;58.6;13.6;7.7;6.5;1.2;58.8;106.0;100.7;5.3;7504.0;90.7;2006-2007
Detroit;.535;.488;157.2;28.3;70.9;49.6;60.1;12.0;8.0;9.2;1.2;60.1;108.9;104.2;4.7;7229.1;87.3;2006-2007
Cleveland;.522;.484;149.5;29.7;75.8;52.2;57.4;13.4;8.3;6.9;1.2;57.3;105.5;101.3;4.2;7521.0;90.8;2006-2007
Utah;.551;.502;155.3;31.7;75.1;53.4;65.9;14.5;7.7;7.1;1.3;61.1;110.1;107.0;3.1;7558.8;91.6;2006-2007
Denver;.548;.501;154.7;28.9;71.8;50.7;60.7;14.6;8.4;7.9;1.3;64.1;107.6;105.9;1.7;8031.0;97.4;2006-2007
Toronto;.550;.504;161.4;22.2;74.5;48.1;60.1;13.0;7.6;6.3;1.2;59.8;107.0;106.0;1.1;7620.2;92.6;2006-2007
Orlando;.544;.500;152.9;29.3;73.7;52.0;53.0;16.3;7.7;8.5;1.3;52.6;104.9;104.1;0.9;7405.5;89.9;2006-2007
L.A. Lakers;.554;.511;156.6;26.1;72.3;49.4;59.6;14.3;7.7;8.0;1.3;60.4;108.6;108.6;-0.1;7806.5;93.5;2006-2007
Golden State;.548;.512;153.6;25.6;69.6;47.1;59.8;14.1;9.2;8.9;1.2;64.1;107.0;107.4;-0.3;8162.1;99.2;2006-2007
L.A. Clippers;.537;.481;159.2;27.2;74.7;51.2;61.2;14.5;8.0;9.3;1.2;57.5;105.1;105.6;-0.5;7461.9;90.8;2006-2007
Washington;.542;.491;156.3;28.1;71.0;48.9;54.1;12.6;8.2;7.3;1.3;59.9;110.1;110.6;-0.5;7772.7;94.1;2006-2007
New Jersey;.546;.504;154.7;24.6;74.4;49.7;67.4;14.2;6.6;5.4;1.3;57.5;105.7;106.6;-0.8;7567.5;91.4;2006-2007
Miami;.541;.506;149.7;24.9;73.3;49.7;57.6;14.3;7.6;8.8;1.2;56.5;104.3;105.3;-1.0;7439.9;89.9;2006-2007
New Orleans;.520;.479;154.7;29.1;74.7;51.4;51.7;13.6;7.0;6.9;1.2;54.5;104.8;106.5;-1.7;7473.5;90.2;2006-2007
Sacramento;.545;.491;156.5;23.1;72.5;47.3;56.6;13.5;8.6;5.1;1.3;56.4;106.2;108.0;-1.9;7821.4;94.8;2006-2007
Indiana;.523;.474;154.4;28.4;72.7;50.1;58.5;15.1;7.9;8.5;1.2;54.4;102.9;105.5;-2.6;7618.8;92.4;2006-2007
New York;.539;.494;151.8;31.0;74.0;52.7;52.8;15.9;7.2;5.2;1.3;52.1;105.7;108.8;-3.1;7563.5;90.7;2006-2007
Seattle;.544;.499;161.2;27.8;70.9;49.2;55.6;14.5;8.3;5.9;1.2;56.2;107.2;110.3;-3.1;7586.3;91.8;2006-2007
Philadelphia;.530;.480;156.9;27.2;70.8;49.1;56.9;14.6;7.8;7.6;1.2;54.3;103.6;106.9;-3.3;7513.5;90.7;2006-2007
Boston;.530;.479;157.7;27.0;73.8;49.9;57.0;15.6;7.8;7.5;1.2;52.0;103.1;106.7;-3.7;7623.3;92.1;2006-2007
Minnesota;.537;.490;160.6;25.1;72.1;49.2;61.7;14.8;7.0;6.2;1.2;55.1;103.9;107.9;-4.0;7581.3;91.0;2006-2007
Charlotte;.524;.480;153.7;26.4;71.6;48.3;62.0;13.9;8.3;7.1;1.2;54.7;103.6;107.6;-4.0;7670.7;92.0;2006-2007
Milwaukee;.541;.504;155.4;27.6;68.1;47.6;56.7;14.1;7.7;4.4;1.2;55.3;106.8;111.5;-4.7;7648.3;92.4;2006-2007
Portland;.530;.483;156.5;28.2;73.0;50.2;52.6;14.5;7.6;7.6;1.2;50.8;105.1;109.9;-4.8;7344.0;88.3;2006-2007
Atlanta;.523;.471;153.4;29.2;70.9;49.8;55.6;15.1;8.2;8.7;1.2;51.5;103.0;108.3;-5.2;7454.8;90.0;2006-2007
Memphis;.555;.504;159.3;25.9;71.1;48.5;56.0;15.2;7.2;7.7;1.3;56.4;106.9;112.3;-5.4;7792.8;93.6;2006-2007
San Antonio;.546;.513;155.8;26.0;74.2;50.7;57.4;13.3;7.5;8.4;1.2;59.6;107.7;100.0;7.7;7274.9;88.2;2005-2006
Detroit;.535;.497;156.6;28.9;71.2;49.8;66.1;10.8;8.1;9.0;1.2;64.7;111.3;103.6;7.7;7136.4;86.4;2005-2006
Dallas;.550;.495;161.9;31.8;72.2;52.4;50.0;12.7;8.2;9.4;1.3;59.3;112.4;105.5;6.9;7234.7;87.3;2005-2006
Phoenix;.568;.537;168.4;22.1;72.1;47.7;63.5;11.9;6.9;7.2;1.2;69.8;111.9;106.2;5.7;7940.6;95.5;2005-2006
Memphis;.537;.496;153.3;25.8;72.0;49.1;57.8;13.3;8.5;8.9;1.2;55.1;106.6;102.3;4.3;7088.5;85.7;2005-2006
Miami;.556;.517;152.3;26.7;76.4;52.6;55.7;13.5;6.9;8.5;1.3;60.7;109.2;105.0;4.2;7497.7;91.1;2005-2006
L.A. Lakers;.539;.495;154.6;28.8;73.6;51.2;58.0;12.8;8.4;6.7;1.2;59.2;108.9;106.2;2.7;7484.2;90.5;2005-2006
Cleveland;.538;.492;152.1;28.4;75.7;51.8;53.6;13.2;7.7;7.5;1.2;57.4;108.1;105.6;2.5;7402.7;89.6;2005-2006
Indiana;.533;.487;153.0;27.1;72.6;50.5;58.5;14.4;8.2;7.5;1.2;55.9;104.9;102.8;2.1;7336.1;89.2;2005-2006
Washington;.538;.484;156.0;29.5;70.9;49.5;51.2;12.6;8.7;6.6;1.3;57.3;109.8;107.8;2.0;7592.8;91.9;2005-2006
L.A. Clippers;.540;.487;159.9;25.4;75.9;51.8;57.1;13.5;7.1;9.5;1.2;59.1;105.8;104.1;1.7;7534.2;91.3;2005-2006
Sacramento;.544;.492;158.9;25.4;72.2;49.0;61.8;13.5;8.0;5.5;1.2;59.1;107.1;105.4;1.7;7571.4;91.6;2005-2006
New Jersey;.528;.478;152.8;24.0;76.3;49.8;67.8;12.9;7.6;5.7;1.2;56.1;104.4;102.9;1.5;7365.8;89.4;2005-2006
Chicago;.527;.487;156.3;26.3;74.7;50.6;60.1;13.7;6.6;6.8;1.2;55.4;104.4;103.7;0.7;7680.5;92.6;2005-2006
Denver;.535;.488;153.1;26.8;72.0;49.7;62.4;13.4;9.0;8.8;1.2;61.0;105.9;105.7;0.2;7768.9;93.6;2005-2006
