Team;TS%;eFG%;Total S%;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;PPS;FIC40;ORtg;DRtg;eDiff;Poss;Pace;Season
Washington;.569;.531;159.5;21.3;77.6;49.5;59.0;12.3;7.0;7.1;1.3;71.7;111.2;113.0;-1.7;7549.3;104.1;2020-2021
Charlotte;.564;.532;158.6;23.5;75.7;49.2;67.2;13.3;8.0;9.8;1.2;72.0;110.9;112.8;-2.0;7107.9;98.3;2020-2021
Sacramento;.578;.549;159.0;21.3;75.0;47.8;59.9;12.0;7.5;8.8;1.3;72.7;113.6;117.3;-3.7;7209.9;100.0;2020-2021
Detroit;.556;.519;156.2;21.9;76.9;49.1;62.6;13.5;7.5;9.3;1.2;65.8;108.0;112.6;-4.5;7106.0;97.8;2020-2021
Minnesota;.555;.520;155.8;22.7;76.8;48.7;63.0;12.4;8.6;9.9;1.2;71.0;109.5;115.0;-5.4;7370.0;101.6;2020-2021
Houston;.553;.521;152.3;19.8;77.1;47.2;60.1;13.0;7.5;9.3;1.2;66.6;107.1;114.9;-7.8;7313.1;101.4;2020-2021
Cleveland;.543;.508;153.0;23.6;76.6;49.4;61.8;13.9;7.9;8.3;1.2;63.9;105.8;114.4;-8.6;7068.0;97.3;2020-2021
Orlando;.527;.490;154.7;21.6;78.2;49.0;57.0;11.5;7.0;8.4;1.2;64.4;105.1;114.5;-9.4;7122.9;98.6;2020-2021
Oklahoma City;.539;.509;150.4;21.2;77.9;49.2;56.8;14.2;6.9;8.1;1.2;63.0;103.5;114.0;-10.5;7302.0;101.0;2020-2021
Milwaukee;.583;.552;157.3;20.7;81.7;53.0;59.8;12.9;6.8;10.7;1.3;80.0;112.4;102.9;9.5;7707.3;105.1;2019-2020
L.A. Clippers;.577;.535;162.8;23.6;77.6;51.3;57.1;12.6;7.0;8.6;1.3;72.8;113.9;107.6;6.3;7353.0;101.5;2019-2020
Boston;.570;.531;162.6;23.9;77.4;51.0;55.7;12.2;8.2;10.8;1.3;72.1;113.3;107.0;6.3;7222.6;99.5;2019-2020
Toronto;.574;.536;162.7;21.3;76.7;49.6;62.7;13.1;8.7;10.1;1.3;72.8;111.1;105.0;6.1;7305.5;100.9;2019-2020
L.A. Lakers;.573;.542;155.7;24.5;78.8;52.0;60.0;13.3;8.5;12.3;1.3;74.9;112.1;106.3;5.7;7187.3;100.9;2019-2020
Dallas;.581;.545;160.7;23.2;77.7;50.8;59.2;11.2;6.1;8.5;1.3;75.4;116.7;111.7;4.9;7521.8;99.3;2019-2020
Miami;.587;.547;162.9;20.3;79.5;51.1;65.7;13.5;7.5;9.3;1.3;72.0;112.5;109.5;3.0;7270.7;98.3;2019-2020
Houston;.578;.537;158.7;21.0;75.5;48.0;53.0;12.6;8.4;9.1;1.3;71.1;112.9;110.1;2.8;7511.5;103.7;2019-2020
Utah;.585;.549;162.9;21.6;78.9;51.3;56.0;13.7;6.1;7.0;1.3;68.1;112.3;109.9;2.5;7132.3;98.6;2019-2020
Philadelphia;.566;.534;159.0;23.9;80.3;52.1;62.8;12.7;8.0;9.4;1.3;72.7;111.4;109.0;2.4;7258.5;99.0;2019-2020
Denver;.567;.535;160.8;24.8;76.8;50.9;63.6;12.3;8.2;8.8;1.3;72.4;113.1;111.0;2.1;7180.7;97.1;2019-2020
Oklahoma City;.573;.530;161.8;19.3;76.8;48.9;54.3;12.4;7.7;8.7;1.3;67.8;110.8;108.8;2.0;7173.1;98.8;2019-2020
Indiana;.565;.534;162.6;20.0;76.7;48.6;61.4;12.0;7.5;9.4;1.2;70.9;110.0;108.0;2.0;7263.2;98.9;2019-2020
Phoenix;.576;.532;166.0;22.2;78.8;50.1;66.1;13.0;7.5;7.2;1.3;72.0;111.7;111.4;0.2;7428.3;101.3;2019-2020
Brooklyn;.554;.520;153.6;23.2;77.8;51.1;60.6;13.1;6.3;7.7;1.2;68.6;108.9;109.5;-0.6;7387.5;101.4;2019-2020
Orlando;.544;.506;156.1;22.3;79.1;49.8;60.8;11.5;8.3;10.2;1.2;69.7;108.5;109.5;-1.0;7218.0;98.6;2019-2020
Memphis;.561;.528;157.8;23.0;77.8;50.9;63.3;13.2;7.6;9.9;1.2;73.3;109.2;110.3;-1.0;7526.4;102.8;2019-2020
San Antonio;.572;.531;165.8;20.1;79.2;49.6;58.5;11.2;7.2;10.0;1.3;73.5;112.4;113.5;-1.1;7205.2;100.5;2019-2020
Portland;.570;.533;164.4;22.4;75.3;49.2;48.8;11.2;6.2;10.8;1.3;69.9;113.7;114.8;-1.1;7484.4;100.7;2019-2020
New Orleans;.568;.539;156.3;24.2;77.8;50.9;63.0;13.9;7.2;8.6;1.3;72.9;110.7;112.0;-1.2;7533.3;103.7;2019-2020
Sacramento;.566;.534;159.6;21.9;78.4;49.5;58.2;13.0;7.7;8.0;1.2;66.5;110.2;112.2;-2.0;7195.4;98.9;2019-2020
Chicago;.547;.515;154.9;22.8;75.6;47.9;58.7;13.7;10.0;8.0;1.2;64.4;106.7;109.8;-3.1;6508.6;99.7;2019-2020
Detroit;.561;.529;156.9;22.6;75.9;48.9;61.2;13.8;7.6;7.8;1.3;65.5;109.0;112.7;-3.6;6491.4;97.6;2019-2020
Minnesota;.551;.514;153.0;22.1;77.2;48.6;59.0;13.0;8.3;9.7;1.2;68.6;108.1;112.2;-4.1;6703.4;103.4;2019-2020
Washington;.562;.523;161.3;22.2;75.3;47.7;60.2;12.2;7.7;7.8;1.3;68.8;110.9;115.5;-4.5;7425.0;102.7;2019-2020
New York;.531;.501;147.9;25.8;78.3;51.3;55.2;12.6;7.7;9.3;1.2;63.6;106.5;113.0;-6.5;6558.1;98.6;2019-2020
Charlotte;.539;.504;153.4;23.9;74.4;48.2;63.9;13.3;6.8;7.9;1.2;62.5;106.3;113.3;-7.0;6287.9;95.8;2019-2020
Atlanta;.554;.515;157.2;21.6;74.9;47.9;58.9;13.8;7.5;8.8;1.2;65.1;107.2;114.8;-7.6;6987.8;103.0;2019-2020
Cleveland;.553;.522;156.8;24.6;77.4;50.8;57.3;14.6;6.9;5.8;1.2;63.6;107.5;115.4;-7.9;6464.3;98.7;2019-2020
Golden State;.541;.497;157.5;21.5;76.4;48.0;66.3;13.2;8.1;8.5;1.2;65.8;105.2;113.8;-8.6;6572.2;100.3;2019-2020
Milwaukee;.583;.550;160.1;20.8;80.3;52.3;60.1;12.0;7.2;10.4;1.3;80.0;113.8;105.2;8.5;8512.5;103.3;2018-2019
