Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
Milwaukee;82;48.1;95.3;36.2;76.9;.471;4.0;11.2;.352;19.0;25.7;.741;11.6;27.6;39.2;19.6;7.7;4.2;15.7;23.1;1996-1997
Miami;82;48.3;94.8;34.4;76.0;.453;8.3;22.7;.364;17.7;24.7;.719;11.7;29.3;41.0;21.2;7.9;5.3;15.9;23.4;1996-1997
Atlanta;82;48.3;94.8;34.3;76.9;.446;8.0;22.4;.359;18.2;23.8;.763;12.5;28.7;41.1;19.0;8.5;5.2;15.0;19.4;1996-1997
Detroit;82;48.4;94.2;34.5;74.3;.464;7.1;18.3;.388;18.1;24.3;.745;10.5;28.0;38.4;19.0;7.7;3.5;12.7;20.1;1996-1997
Orlando;82;48.4;94.1;34.6;79.2;.437;6.9;20.3;.341;18.0;24.1;.746;13.1;27.1;40.1;20.6;8.5;4.4;15.2;20.0;1996-1997
Dallas;82;48.3;90.6;34.3;78.7;.436;5.2;16.0;.327;16.8;23.4;.717;12.7;27.6;40.3;20.3;8.0;4.3;16.1;21.9;1996-1997
San Antonio;82;48.1;90.5;34.5;77.9;.442;4.6;14.4;.320;16.9;23.5;.719;13.4;26.0;39.4;20.3;7.9;5.3;15.2;21.5;1996-1997
Vancouver;82;48.2;89.2;34.4;78.7;.437;5.4;15.5;.349;15.0;21.1;.709;12.5;26.3;38.8;22.7;8.0;5.7;15.8;21.4;1996-1997
Cleveland;82;48.4;87.5;33.0;72.8;.453;5.9;15.7;.376;15.6;21.6;.723;11.1;26.3;37.4;20.9;8.0;3.8;14.4;23.0;1996-1997
Chicago;82;48.1;105.2;40.2;84.0;.478;6.6;16.5;.403;18.2;24.4;.746;15.2;29.4;44.6;24.8;9.1;4.2;13.8;22.0;1995-1996
Seattle;82;48.5;104.5;37.5;78.1;.480;7.1;19.5;.364;22.5;29.6;.760;11.6;29.9;41.5;24.4;10.8;4.8;17.2;24.0;1995-1996
Orlando;82;48.4;104.5;39.1;81.0;.482;7.6;20.1;.378;18.8;27.2;.691;11.8;29.3;41.1;25.4;8.1;5.0;13.9;20.8;1995-1996
Phoenix;82;48.7;104.3;38.5;81.4;.473;4.0;12.0;.332;23.3;30.1;.771;12.3;30.5;42.8;24.4;7.6;4.0;14.3;21.7;1995-1996
Boston;82;48.5;103.6;38.6;84.7;.456;6.6;17.7;.371;19.9;27.9;.714;12.8;29.6;42.4;21.9;8.0;5.0;15.3;24.9;1995-1996
San Antonio;82;48.2;103.4;38.4;80.5;.477;6.3;16.1;.392;20.3;27.6;.736;11.4;31.5;43.0;24.9;7.9;6.5;14.2;22.2;1995-1996
L.A. Lakers;82;48.0;102.9;39.2;81.8;.480;5.8;16.6;.351;18.6;25.0;.746;12.1;28.1;40.2;25.4;8.8;6.3;13.8;20.8;1995-1996
Charlotte;82;48.5;102.8;37.9;80.7;.470;7.1;18.5;.384;19.9;25.8;.770;12.0;27.5;39.5;23.3;7.1;3.4;14.6;22.1;1995-1996
Dallas;82;48.6;102.5;38.1;90.6;.420;9.0;24.9;.360;17.4;24.1;.722;17.2;29.0;46.2;23.3;7.8;4.2;15.1;22.4;1995-1996
Washington;82;48.3;102.5;39.0;80.7;.484;6.0;14.8;.407;18.4;25.3;.728;11.3;28.4;39.7;22.1;7.2;6.2;15.7;24.2;1995-1996
Houston;82;48.3;102.5;37.5;81.0;.464;7.8;21.5;.362;19.6;25.7;.765;11.2;29.9;41.1;24.2;7.9;5.8;14.7;21.4;1995-1996
Utah;82;48.2;102.5;38.2;78.3;.488;4.6;12.4;.372;21.6;28.1;.768;12.1;28.9;41.0;26.1;8.1;5.1;14.3;25.0;1995-1996
Golden State;82;48.2;101.6;37.3;81.7;.456;5.5;14.6;.373;21.6;28.5;.759;14.3;27.9;42.2;23.0;8.6;5.7;15.8;22.4;1995-1996
Sacramento;82;48.2;99.5;36.2;79.2;.457;5.6;14.6;.387;21.5;29.4;.731;13.6;28.6;42.2;22.3;7.8;5.3;17.0;26.0;1995-1996
L.A. Clippers;82;48.1;99.4;38.1;80.7;.472;6.2;16.8;.370;17.0;24.2;.702;11.9;26.7;38.6;20.4;8.6;5.0;15.8;24.5;1995-1996
Portland;82;48.5;99.3;37.4;81.6;.458;5.9;16.6;.353;18.7;28.3;.662;14.1;31.4;45.6;21.5;7.2;5.1;16.2;22.7;1995-1996
Indiana;82;48.2;99.3;36.3;75.7;.480;4.4;11.9;.373;22.2;29.5;.755;12.3;27.6;39.9;23.4;7.1;3.9;15.8;24.8;1995-1996
Atlanta;82;48.1;98.3;36.4;81.3;.448;6.9;19.5;.355;18.6;24.5;.757;14.4;26.2;40.6;19.6;9.4;3.9;14.4;20.9;1995-1996
Minnesota;82;48.2;97.9;36.3;79.0;.459;3.4;10.5;.326;21.9;28.2;.777;12.0;27.7;39.7;22.8;7.9;5.9;16.8;24.3;1995-1996
Denver;82;48.4;97.7;36.6;81.2;.451;4.8;14.0;.346;19.7;26.5;.743;12.9;30.3;43.2;22.6;6.4;7.3;14.9;23.0;1995-1996
Toronto;82;48.4;97.5;37.6;80.5;.467;5.0;14.2;.354;17.2;23.8;.723;13.1;27.0;40.0;23.5;9.1;6.0;18.0;24.2;1995-1996
New York;82;48.4;97.2;36.6;77.8;.471;5.9;15.7;.377;18.0;23.8;.757;10.1;29.9;40.0;22.2;7.9;4.6;15.0;22.7;1995-1996
Miami;82;48.2;96.5;35.4;77.4;.457;6.7;17.8;.379;18.9;26.7;.710;12.2;30.4;42.6;21.4;7.0;5.4;16.3;26.3;1995-1996
Milwaukee;82;48.1;95.6;37.0;79.1;.467;4.4;12.9;.338;17.2;23.3;.738;11.9;26.4;38.3;21.4;7.1;3.7;15.1;23.7;1995-1996
Detroit;82;48.4;95.4;34.3;74.7;.459;6.6;16.5;.404;20.2;26.9;.751;10.8;29.8;40.5;19.6;6.2;4.3;14.2;23.8;1995-1996
Philadelphia;82;48.1;94.5;34.1;78.3;.436;6.0;17.5;.342;20.3;27.6;.734;12.6;26.4;38.9;19.9;7.8;5.1;16.6;21.7;1995-1996
New Jersey;82;48.5;93.7;35.1;82.3;.427;3.0;9.1;.335;20.4;27.4;.745;16.5;30.5;47.0;21.4;7.6;7.0;16.0;22.9;1995-1996
Cleveland;82;48.4;91.1;33.7;73.1;.460;7.3;19.3;.377;16.5;21.6;.763;10.6;25.1;35.6;22.2;8.2;4.1;12.0;20.5;1995-1996
Vancouver;82;48.5;89.8;33.8;79.1;.428;4.5;13.8;.329;17.6;24.4;.724;11.7;26.5;38.1;20.8;8.9;4.1;15.6;22.6;1995-1996
Orlando;82;48.6;110.9;42.2;84.1;.502;6.4;17.2;.370;20.1;30.1;.669;14.0;30.0;44.0;27.8;8.2;6.0;15.5;21.0;1994-1995
Phoenix;82;48.4;110.6;40.9;85.0;.482;7.1;19.3;.369;21.7;28.7;.756;12.5;29.3;41.8;26.8;8.4;3.8;14.0;22.4;1994-1995
Seattle;82;48.4;110.4;40.4;82.2;.491;6.0;15.9;.376;23.7;31.3;.758;13.0;28.5;41.5;25.8;11.2;4.8;15.4;25.2;1994-1995
San Antonio;82;48.4;106.6;39.5;81.5;.484;5.3;14.1;.375;22.4;30.3;.738;12.5;32.5;45.0;23.4;8.0;5.6;14.8;22.8;1994-1995
Utah;82;48.2;106.4;39.5;77.3;.512;3.7;9.8;.376;23.6;30.3;.781;10.7;29.4;40.1;27.5;9.2;4.8;15.2;24.9;1994-1995
Golden State;82;48.5;105.7;39.2;83.8;.468;6.7;19.5;.341;20.6;29.2;.704;13.4;28.9;42.3;24.6;7.9;4.8;17.8;22.0;1994-1995
L.A. Lakers;82;48.5;105.1;40.0;86.4;.463;6.4;18.2;.352;18.6;25.3;.735;13.7;28.2;42.0;25.3;9.1;6.9;14.7;23.6;1994-1995
Houston;82;48.1;103.5;38.5;80.2;.480;7.9;21.4;.368;18.6;24.9;.749;10.7;29.8;40.5;25.1;8.8;6.3;15.6;20.9;1994-1995
Dallas;82;48.6;103.2;39.4;89.5;.440;4.7;14.6;.322;19.8;27.0;.734;18.5;29.7;48.1;23.7;7.1;4.2;16.0;22.1;1994-1995
Portland;82;48.1;103.1;39.2;87.0;.451;5.6;15.4;.365;19.0;27.2;.697;16.5;29.8;46.3;22.5;8.1;5.7;14.4;24.7;1994-1995
Boston;82;48.3;102.8;38.8;83.5;.464;4.4;12.0;.368;20.8;27.7;.753;14.1;28.3;42.4;21.7;7.5;4.4;15.5;24.1;1994-1995
Chicago;82;48.4;101.5;38.9;81.8;.476;5.4;14.5;.373;18.3;25.2;.726;13.5;28.0;41.5;24.0;9.7;4.3;15.0;23.9;1994-1995
Denver;82;48.7;101.3;37.8;78.8;.479;5.0;14.1;.356;20.7;28.1;.738;12.7;29.3;42.0;22.4;8.0;7.1;16.2;25.2;1994-1995
Miami;82;48.3;101.1;38.3;82.2;.467;5.3;14.4;.369;19.1;26.0;.736;13.3;27.7;41.0;21.7;8.1;3.6;15.3;24.4;1994-1995
Charlotte;82;48.3;100.6;37.2;78.5;.474;6.8;17.2;.397;19.4;24.9;.777;10.1;29.2;39.4;25.3;7.6;4.9;14.2;20.5;1994-1995
Washington;82;48.4;100.5;38.7;84.1;.460;5.3;15.4;.343;17.8;24.5;.724;12.7;27.1;39.8;21.3;7.9;4.9;15.5;23.8;1994-1995
Milwaukee;82;48.4;99.3;36.9;80.3;.459;6.0;16.5;.366;19.6;27.5;.712;13.0;26.7;39.6;21.2;8.2;4.4;16.4;22.7;1994-1995
Indiana;82;48.2;99.2;36.4;76.2;.477;4.6;12.0;.380;21.9;29.1;.751;12.8;27.9;40.7;22.9;8.6;4.4;16.0;23.6;1994-1995
Sacramento;82;48.4;98.2;36.9;78.8;.468;4.4;12.6;.346;20.1;28.3;.711;13.1;28.4;41.4;22.2;7.9;5.6;17.0;24.9;1994-1995
New York;82;48.2;98.2;36.4;78.0;.467;6.5;17.6;.368;18.9;25.8;.734;11.3;30.2;41.5;25.1;7.2;4.7;15.5;25.6;1994-1995
Detroit;82;48.1;98.2;37.3;80.9;.461;6.0;17.0;.354;17.5;23.7;.741;11.7;26.9;38.6;22.8;8.6;5.1;15.7;26.2;1994-1995
New Jersey;82;48.5;98.1;35.8;82.2;.436;5.0;15.8;.319;21.3;28.1;.759;14.8;31.3;46.1;23.0;6.6;6.7;15.2;22.5;1994-1995
L.A. Clippers;82;48.5;96.7;37.3;84.0;.444;4.0;12.8;.315;18.0;25.4;.710;13.0;25.3;38.3;22.0;9.6;5.3;15.5;26.2;1994-1995
Atlanta;82;48.4;96.6;36.4;81.5;.447;6.6;19.3;.341;17.2;23.8;.724;13.5;27.7;41.2;21.4;9.0;5.0;14.4;22.0;1994-1995
Philadelphia;82;48.3;95.4;36.0;80.2;.448;4.3;11.4;.379;19.1;25.9;.737;13.5;27.2;40.7;19.1;7.8;7.0;15.9;22.4;1994-1995
Minnesota;82;48.2;94.2;34.0;75.8;.449;3.9;12.4;.313;22.2;28.7;.775;10.8;25.5;36.3;21.7;7.4;4.9;16.3;25.3;1994-1995
Cleveland;82;48.6;90.5;33.6;76.3;.441;4.9;12.6;.385;18.4;24.2;.760;12.7;27.3;40.0;20.4;7.7;4.3;13.3;20.7;1994-1995
Phoenix;82;48.1;113.4;42.6;86.5;.493;4.9;13.4;.363;23.3;31.0;.753;13.9;30.6;44.5;25.5;9.2;5.5;16.1;21.2;1993-1994
Charlotte;82;48.2;110.1;42.8;87.9;.487;2.1;6.6;.325;22.3;29.0;.771;13.4;30.6;43.9;26.4;7.8;5.8;15.7;21.8;1993-1994
Golden State;82;48.5;109.9;42.4;88.0;.482;3.6;10.4;.350;21.6;30.1;.717;14.9;29.1;43.9;24.5;8.5;4.7;17.1;25.1;1993-1994
Portland;82;48.5;108.5;41.0;89.5;.458;3.4;10.3;.326;23.2;31.1;.745;15.0;30.6;45.5;24.0;9.4;5.2;14.5;23.1;1993-1994
Seattle;82;48.2;108.3;42.4;87.1;.486;2.7;7.4;.357;21.0;27.5;.761;14.9;27.5;42.4;23.2;11.5;5.0;15.0;24.0;1993-1994
Sacramento;82;48.2;107.9;41.0;88.6;.463;3.2;9.6;.332;22.7;29.8;.762;13.9;27.8;41.7;25.3;9.4;4.2;16.4;25.4;1993-1994
Indiana;82;48.2;107.8;41.1;85.6;.480;3.1;9.6;.326;22.4;29.3;.766;14.9;29.9;44.8;26.1;7.5;4.9;14.8;24.9;1993-1994
Cleveland;82;48.4;107.7;41.8;84.0;.497;3.5;9.0;.381;20.7;25.8;.802;11.3;30.4;41.8;28.6;7.5;6.5;13.3;19.3;1993-1994
Atlanta;82;48.4;107.5;41.4;88.7;.466;4.7;13.1;.355;20.1;27.1;.742;15.7;28.6;44.3;25.4;9.8;3.4;15.8;22.0;1993-1994
L.A. Clippers;82;48.3;107.1;43.2;89.4;.484;1.6;6.0;.271;19.0;26.5;.718;14.4;28.8;43.2;27.3;10.3;5.9;16.0;23.4;1993-1994
Utah;82;48.2;106.2;40.7;83.3;.489;1.6;5.0;.314;23.3;30.4;.766;12.7;30.0;42.7;26.5;9.1;4.2;15.1;24.0;1993-1994
San Antonio;82;48.4;105.5;40.4;82.5;.490;2.9;8.4;.341;21.9;28.6;.765;11.2;31.0;42.2;24.5;7.1;6.3;14.5;22.5;1993-1994
Orlando;82;48.5;105.5;39.7;81.8;.486;3.9;10.8;.357;22.2;30.4;.730;12.7;31.3;44.0;23.8;6.6;5.7;16.9;23.5;1993-1994
Denver;82;48.4;105.2;40.9;88.8;.460;1.7;5.5;.304;21.8;28.8;.756;15.4;31.3;46.7;21.2;7.9;6.9;16.7;24.9;1993-1994
Chicago;82;48.4;105.2;42.4;87.9;.482;3.0;8.2;.365;17.5;23.8;.733;15.7;27.8;43.6;26.0;9.5;5.0;12.9;22.0;1993-1994
Philadelphia;82;48.6;104.3;39.3;86.3;.456;4.0;11.5;.351;21.7;27.5;.786;12.6;29.6;42.2;24.9;8.2;6.9;15.9;19.6;1993-1994
L.A. Lakers;82;48.4;104.2;40.4;85.3;.473;2.3;7.6;.299;21.2;28.1;.756;13.5;27.9;41.4;24.5;9.5;5.2;15.0;21.7;1993-1994
Houston;82;48.2;104.0;40.0;82.2;.486;4.7;13.1;.361;19.3;25.5;.758;12.0;30.9;42.9;25.8;8.3;6.6;15.3;20.7;1993-1994
Boston;82;48.2;103.7;42.1;86.5;.487;1.3;4.7;.287;18.1;23.3;.777;13.1;29.7;42.8;24.4;7.9;5.5;13.8;22.7;1993-1994
Miami;82;48.8;103.6;38.1;83.5;.456;4.1;11.5;.354;23.3;30.2;.771;13.8;29.1;42.9;20.6;7.4;4.3;15.1;24.5;1993-1994
New Jersey;82;48.2;102.8;39.9;86.4;.462;1.9;6.0;.318;21.1;27.5;.767;15.7;30.6;46.3;22.8;8.5;6.4;15.9;23.1;1993-1994
Milwaukee;82;48.1;102.3;39.9;84.4;.472;3.8;11.4;.333;18.8;25.4;.742;12.8;25.8;38.6;25.4;10.5;4.8;16.1;24.1;1993-1994
Washington;82;48.3;101.9;40.3;86.2;.467;2.1;7.0;.301;19.2;25.7;.748;12.6;28.3;40.8;25.7;8.2;4.4;15.6;21.9;1993-1994
New York;82;48.6;101.6;39.1;84.1;.465;2.4;7.4;.320;20.9;28.2;.741;14.0;32.4;46.5;25.9;8.3;4.5;15.4;25.7;1993-1994
Detroit;82;48.2;100.6;39.8;87.9;.453;3.6;11.1;.322;17.4;23.9;.729;15.8;28.2;44.0;23.7;7.1;3.0;13.6;21.3;1993-1994
Dallas;82;48.1;99.3;38.6;88.7;.435;3.5;10.2;.338;18.7;26.5;.705;15.0;27.6;42.7;20.5;7.9;4.3;17.3;28.1;1993-1994
Minnesota;82;48.4;98.1;37.1;79.6;.466;2.0;6.9;.292;21.9;27.4;.798;11.5;26.9;38.4;24.4;7.9;5.5;16.5;24.7;1993-1994
Phoenix;82;48.1;113.4;42.6;86.5;.493;4.9;13.4;.363;23.3;31.0;.753;13.9;30.6;44.5;25.5;9.2;5.5;16.1;21.2;1992-1993
Charlotte;82;48.2;110.1;42.8;87.9;.487;2.1;6.6;.325;22.3;29.0;.771;13.4;30.6;43.9;26.4;7.8;5.8;15.7;21.8;1992-1993
Golden State;82;48.5;109.9;42.4;88.0;.482;3.6;10.4;.350;21.6;30.1;.717;14.9;29.1;43.9;24.5;8.5;4.7;17.1;25.1;1992-1993
Portland;82;48.5;108.5;41.0;89.5;.458;3.4;10.3;.326;23.2;31.1;.745;15.0;30.6;45.5;24.0;9.4;5.2;14.5;23.1;1992-1993
Seattle;82;48.2;108.3;42.4;87.1;.486;2.7;7.4;.357;21.0;27.5;.761;14.9;27.5;42.4;23.2;11.5;5.0;15.0;24.0;1992-1993
Sacramento;82;48.2;107.9;41.0;88.6;.463;3.2;9.6;.332;22.7;29.8;.762;13.9;27.8;41.7;25.3;9.4;4.2;16.4;25.4;1992-1993
Indiana;82;48.2;107.8;41.1;85.6;.480;3.1;9.6;.326;22.4;29.3;.766;14.9;29.9;44.8;26.1;7.5;4.9;14.8;24.9;1992-1993
Cleveland;82;48.4;107.7;41.8;84.0;.497;3.5;9.0;.381;20.7;25.8;.802;11.3;30.4;41.8;28.6;7.5;6.5;13.3;19.3;1992-1993
Atlanta;82;48.4;107.5;41.4;88.7;.466;4.7;13.1;.355;20.1;27.1;.742;15.7;28.6;44.3;25.4;9.8;3.4;15.8;22.0;1992-1993
L.A. Clippers;82;48.3;107.1;43.2;89.4;.484;1.6;6.0;.271;19.0;26.5;.718;14.4;28.8;43.2;27.3;10.3;5.9;16.0;23.4;1992-1993
Utah;82;48.2;106.2;40.7;83.3;.489;1.6;5.0;.314;23.3;30.4;.766;12.7;30.0;42.7;26.5;9.1;4.2;15.1;24.0;1992-1993
San Antonio;82;48.4;105.5;40.4;82.5;.490;2.9;8.4;.341;21.9;28.6;.765;11.2;31.0;42.2;24.5;7.1;6.3;14.5;22.5;1992-1993
Orlando;82;48.5;105.5;39.7;81.8;.486;3.9;10.8;.357;22.2;30.4;.730;12.7;31.3;44.0;23.8;6.6;5.7;16.9;23.5;1992-1993
Denver;82;48.4;105.2;40.9;88.8;.460;1.7;5.5;.304;21.8;28.8;.756;15.4;31.3;46.7;21.2;7.9;6.9;16.7;24.9;1992-1993
Chicago;82;48.4;105.2;42.4;87.9;.482;3.0;8.2;.365;17.5;23.8;.733;15.7;27.8;43.6;26.0;9.5;5.0;12.9;22.0;1992-1993
Philadelphia;82;48.6;104.3;39.3;86.3;.456;4.0;11.5;.351;21.7;27.5;.786;12.6;29.6;42.2;24.9;8.2;6.9;15.9;19.6;1992-1993
L.A. Lakers;82;48.4;104.2;40.4;85.3;.473;2.3;7.6;.299;21.2;28.1;.756;13.5;27.9;41.4;24.5;9.5;5.2;15.0;21.7;1992-1993
Houston;82;48.2;104.0;40.0;82.2;.486;4.7;13.1;.361;19.3;25.5;.758;12.0;30.9;42.9;25.8;8.3;6.6;15.3;20.7;1992-1993
Boston;82;48.2;103.7;42.1;86.5;.487;1.3;4.7;.287;18.1;23.3;.777;13.1;29.7;42.8;24.4;7.9;5.5;13.8;22.7;1992-1993
Miami;82;48.8;103.6;38.1;83.5;.456;4.1;11.5;.354;23.3;30.2;.771;13.8;29.1;42.9;20.6;7.4;4.3;15.1;24.5;1992-1993
New Jersey;82;48.2;102.8;39.9;86.4;.462;1.9;6.0;.318;21.1;27.5;.767;15.7;30.6;46.3;22.8;8.5;6.4;15.9;23.1;1992-1993
Milwaukee;82;48.1;102.3;39.9;84.4;.472;3.8;11.4;.333;18.8;25.4;.742;12.8;25.8;38.6;25.4;10.5;4.8;16.1;24.1;1992-1993
Washington;82;48.3;101.9;40.3;86.2;.467;2.1;7.0;.301;19.2;25.7;.748;12.6;28.3;40.8;25.7;8.2;4.4;15.6;21.9;1992-1993
New York;82;48.6;101.6;39.1;84.1;.465;2.4;7.4;.320;20.9;28.2;.741;14.0;32.4;46.5;25.9;8.3;4.5;15.4;25.7;1992-1993
Detroit;82;48.2;100.6;39.8;87.9;.453;3.6;11.1;.322;17.4;23.9;.729;15.8;28.2;44.0;23.7;7.1;3.0;13.6;21.3;1992-1993
Dallas;82;48.1;99.3;38.6;88.7;.435;3.5;10.2;.338;18.7;26.5;.705;15.0;27.6;42.7;20.5;7.9;4.3;17.3;28.1;1992-1993
Minnesota;82;48.4;98.1;37.1;79.6;.466;2.0;6.9;.292;21.9;27.4;.798;11.5;26.9;38.4;24.4;7.9;5.5;16.5;24.7;1992-1993
Golden State;82;48.5;118.7;45.9;90.6;.507;3.1;9.3;.333;23.7;31.8;.746;13.9;29.0;42.8;25.2;10.4;4.6;16.2;25.0;1991-1992
Indiana;82;48.7;112.2;42.7;86.3;.494;4.1;11.5;.354;22.8;28.8;.790;13.2;31.3;44.5;29.2;8.6;4.8;16.8;26.1;1991-1992
Phoenix;82;48.3;112.1;43.3;88.0;.492;2.8;7.3;.381;22.7;29.2;.776;13.3;31.2;44.5;26.9;8.2;7.1;14.8;22.6;1991-1992
Portland;82;48.5;111.4;42.4;89.7;.473;4.0;11.5;.344;22.7;30.0;.754;15.8;31.1;46.9;25.2;9.2;5.0;15.8;24.2;1991-1992
Chicago;82;48.4;109.9;44.4;87.4;.508;1.7;5.5;.304;19.4;26.0;.744;14.3;29.7;44.0;27.8;8.2;5.9;12.8;20.6;1991-1992
Charlotte;82;48.3;109.5;44.1;92.3;.477;1.4;4.5;.317;20.0;26.4;.755;14.2;28.9;43.1;27.9;10.0;3.8;15.1;22.2;1991-1992
Cleveland;82;48.3;108.9;41.8;85.7;.488;3.1;8.6;.357;22.2;27.5;.805;12.7;29.9;42.6;27.6;7.5;7.6;12.6;19.0;1991-1992
Utah;82;48.5;108.3;41.2;83.7;.492;1.9;5.6;.345;23.9;30.4;.788;13.4;31.0;44.4;26.7;8.7;5.5;15.2;21.3;1991-1992
Boston;82;48.2;106.6;43.2;87.8;.492;1.3;4.4;.306;18.9;23.4;.808;13.4;31.5;44.9;25.3;7.8;5.9;13.9;20.6;1991-1992
Seattle;82;48.4;106.5;41.2;86.9;.474;2.5;7.9;.317;21.6;27.6;.783;15.6;27.5;43.2;22.9;9.5;5.5;15.6;23.8;1991-1992
Atlanta;82;48.5;106.2;42.6;91.2;.467;2.6;8.2;.313;18.5;25.3;.731;15.7;30.5;46.2;25.9;9.7;3.9;14.9;21.6;1991-1992
New Jersey;82;48.2;105.4;42.4;92.4;.458;2.7;8.2;.334;17.9;24.5;.732;18.4;29.2;47.6;23.6;9.0;7.5;16.5;22.4;1991-1992
Milwaukee;82;48.5;105.0;40.5;88.0;.460;4.5;12.3;.369;19.5;25.7;.758;15.8;26.5;42.3;24.6;10.5;3.9;15.9;23.2;1991-1992
Miami;82;48.4;105.0;39.7;86.1;.461;3.1;9.2;.342;22.4;28.4;.790;14.5;28.9;43.3;21.3;8.2;4.5;16.2;22.2;1991-1992
Sacramento;82;48.4;104.3;40.8;87.7;.466;2.9;8.2;.353;19.7;26.4;.747;12.9;28.7;41.6;23.9;8.9;7.5;16.2;21.5;1991-1992
San Antonio;82;48.2;104.0;41.2;86.5;.476;1.4;4.9;.292;20.1;27.4;.736;15.0;31.1;46.1;24.5;8.9;7.4;15.6;21.9;1991-1992
L.A. Clippers;82;48.4;102.9;40.8;86.3;.473;1.8;6.1;.289;19.5;27.1;.720;13.8;29.2;43.0;25.0;10.0;6.1;15.2;22.8;1991-1992
Washington;82;48.4;102.4;41.0;89.0;.461;1.8;6.5;.272;18.5;23.9;.778;13.0;28.6;41.6;24.5;8.7;5.1;14.8;22.6;1991-1992
Houston;82;48.5;102.0;39.9;84.1;.475;4.0;11.7;.343;18.2;24.6;.738;13.1;29.7;42.8;25.1;8.0;7.0;16.4;21.6;1991-1992
Philadelphia;82;48.2;101.9;38.9;82.5;.471;2.8;8.3;.334;21.4;27.6;.775;12.9;28.2;41.1;21.4;8.4;5.9;14.5;19.3;1991-1992
Orlando;82;48.1;101.6;39.3;86.6;.453;2.4;7.4;.324;20.6;27.7;.746;14.3;28.4;42.7;21.9;7.8;4.5;16.5;24.1;1991-1992
New York;82;48.4;101.6;40.4;84.7;.477;2.5;7.5;.325;18.3;25.0;.734;14.5;30.4;44.8;26.0;7.7;4.7;14.7;23.2;1991-1992
Minnesota;82;48.3;100.5;41.0;89.5;.458;1.5;4.8;.320;16.8;22.6;.743;14.2;26.4;40.7;24.7;7.5;6.4;13.5;22.8;1991-1992
L.A. Lakers;82;48.4;100.4;38.8;85.1;.456;1.5;5.4;.267;21.3;27.8;.766;14.1;26.8;40.9;22.0;9.2;4.9;12.7;18.8;1991-1992
Denver;82;48.2;99.7;39.8;90.0;.442;1.5;5.1;.301;18.6;25.2;.738;16.5;28.7;45.1;18.9;9.4;5.6;17.0;24.2;1991-1992
Detroit;82;48.2;98.9;38.9;83.7;.465;2.0;6.4;.314;19.1;25.7;.743;14.8;29.5;44.3;23.2;6.7;4.4;14.4;20.1;1991-1992
Dallas;82;48.2;97.6;38.0;86.6;.439;3.3;9.7;.336;18.3;24.4;.750;14.6;29.7;44.3;19.9;6.5;4.3;14.2;22.;1991-1992
Denver;82;48.1;119.9;47.6;108.1;.440;3.7;12.9;.283;21.0;27.6;.763;18.5;30.9;49.4;24.5;10.4;5.0;16.0;27.3;1990-1991
Golden State;82;48.3;116.6;43.5;89.6;.485;3.3;9.8;.337;26.4;33.7;.783;13.6;28.1;41.7;23.8;9.8;4.6;16.3;26.9;1990-1991
Portland;82;48.5;114.7;43.6;89.9;.485;4.2;11.0;.377;23.3;31.0;.753;14.7;31.2;45.9;27.5;8.8;5.0;15.7;24.1;1990-1991
Phoenix;82;48.1;114.0;43.6;87.8;.496;1.7;5.3;.319;25.2;32.7;.770;13.8;31.7;45.5;26.9;8.4;6.5;15.4;22.6;1990-1991
Indiana;82;48.3;111.7;42.1;85.3;.493;3.0;9.1;.332;24.5;30.2;.811;12.4;29.0;41.4;26.6;8.0;4.4;16.2;25.5;1990-1991
Boston;82;48.3;111.5;45.1;88.0;.512;1.3;4.2;.315;20.1;24.4;.824;13.3;32.9;46.2;26.3;8.2;6.9;16.0;20.7;1990-1991
Chicago;82;48.2;110.0;44.3;86.9;.510;1.9;5.2;.366;19.6;25.7;.760;14.0;28.6;42.6;27.0;10.0;5.3;14.0;21.4;1990-1991
Atlanta;82;48.2;109.8;40.8;88.1;.464;3.3;10.2;.324;24.8;31.0;.800;15.1;29.5;44.6;22.7;8.9;4.6;14.7;21.6;1990-1991
San Antonio;82;48.4;107.1;41.6;85.2;.488;1.0;3.6;.273;23.0;30.0;.766;13.8;32.4;46.2;26.1;8.2;7.0;17.3;23.1;1990-1991
Houston;82;48.4;106.7;41.5;88.9;.467;3.9;12.1;.320;19.9;26.8;.741;15.5;30.6;46.1;23.2;9.7;5.0;16.6;22.9;1990-1991
Seattle;82;48.5;106.6;42.7;86.8;.492;1.7;5.2;.319;19.6;26.1;.750;14.9;26.5;41.4;24.9;10.5;4.6;16.5;24.1;1990-1991
Milwaukee;82;48.4;106.4;40.7;84.7;.480;3.1;9.2;.341;21.9;27.3;.801;13.2;26.4;39.5;25.3;10.9;4.0;15.6;24.8;1990-1991
L.A. Lakers;82;48.4;106.3;40.8;84.3;.484;2.8;9.1;.304;22.0;27.6;.798;13.1;29.8;42.9;25.5;7.8;4.7;14.1;18.6;1990-1991
Orlando;82;48.2;105.9;40.2;88.5;.455;3.3;9.2;.358;22.2;29.8;.743;15.0;29.6;44.7;22.1;7.3;3.7;16.4;24.1;1990-1991
Philadelphia;82;49.0;105.4;40.1;84.5;.475;2.4;7.5;.316;22.8;28.9;.790;12.0;30.4;42.4;22.2;8.3;5.8;14.5;19.9;1990-1991
