Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
L.A. Lakers;82;48.4;101.5;38.1;82.4;.463;6.4;18.1;.352;18.8;24.1;.779;12.1;31.9;44.0;22.0;7.3;5.1;13.1;19.0;2010-2011
Minnesota;82;48.2;101.1;37.7;85.5;.441;7.2;19.1;.376;18.5;24.1;.768;13.2;31.2;44.4;20.1;7.2;5.1;17.0;22.3;2010-2011
Dallas;82;48.1;100.2;37.4;78.8;.475;7.9;21.6;.365;17.5;22.6;.777;9.5;31.9;41.4;23.8;6.8;4.3;14.0;19.2;2010-2011
Memphis;82;48.5;99.9;39.0;82.9;.471;3.8;11.3;.334;18.1;24.2;.750;11.8;29.2;41.0;20.6;9.4;5.4;14.0;20.8;2010-2011
Indiana;82;48.2;99.8;36.6;82.8;.442;7.1;20.2;.354;19.4;24.8;.782;11.1;32.4;43.5;19.6;7.1;5.6;15.4;21.7;2010-2011
Utah;82;48.5;99.4;37.4;80.4;.465;5.3;15.3;.346;19.4;25.1;.771;11.0;28.5;39.5;23.4;7.7;5.9;14.3;22.7;2010-2011
Sacramento;82;48.4;99.4;38.2;85.1;.449;5.2;15.6;.335;17.7;24.2;.734;13.1;30.8;43.9;20.4;7.4;4.8;16.1;22.0;2010-2011
Orlando;82;48.4;99.2;36.0;78.2;.461;9.4;25.6;.366;17.7;25.6;.692;10.5;32.7;43.2;20.0;6.7;4.7;14.9;20.0;2010-2011
Toronto;82;48.2;99.1;38.3;82.4;.465;4.2;13.3;.316;18.2;24.1;.755;11.7;28.6;40.3;21.9;7.1;4.3;14.7;22.0;2010-2011
Philadelphia;82;48.6;99.0;38.1;82.6;.461;5.4;15.2;.355;17.4;22.6;.770;10.4;31.4;41.8;22.7;7.6;4.3;13.0;19.4;2010-2011
L.A. Clippers;82;48.4;98.6;36.8;80.4;.457;6.3;18.5;.338;18.9;26.7;.707;11.6;30.5;42.1;22.1;7.1;4.9;16.4;21.1;2010-2011
Chicago;82;48.4;98.6;37.1;80.3;.462;6.2;17.3;.361;18.2;24.5;.743;11.8;32.4;44.2;22.3;7.2;5.7;14.2;20.0;2010-2011
Washington;82;48.6;97.3;37.2;84.0;.443;4.8;14.4;.332;18.2;24.4;.745;12.4;29.0;41.3;19.4;8.1;6.1;15.3;22.6;2010-2011
Detroit;82;48.5;97.0;37.3;81.1;.460;5.8;15.3;.376;16.7;22.6;.737;11.4;27.3;38.6;21.1;7.3;4.0;13.0;19.9;2010-2011
Boston;82;48.2;96.5;36.9;75.8;.486;5.0;13.6;.365;17.8;23.1;.770;7.8;31.0;38.8;23.4;8.2;4.2;14.6;20.5;2010-2011
Portland;82;48.3;96.3;36.0;80.5;.447;6.3;18.3;.345;18.0;22.4;.804;12.1;27.2;39.3;21.2;8.0;4.4;13.0;19.3;2010-2011
Cleveland;82;48.2;95.5;35.2;81.1;.434;6.2;18.2;.342;18.9;25.3;.745;10.4;29.9;40.3;21.0;6.6;4.2;14.2;20.1;2010-2011
Atlanta;82;48.1;95.0;36.2;78.4;.462;6.1;17.4;.352;16.4;21.1;.779;9.3;30.0;39.3;22.0;6.1;4.2;13.6;19.0;2010-2011
New Orleans;82;48.4;94.9;35.9;78.2;.459;5.4;15.0;.360;17.7;23.1;.765;10.0;30.1;40.1;20.6;7.6;4.4;13.0;21.0;2010-2011
