Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
Philadelphia;87;7;2;2;0;4;0;141;2.4;22;1.628;1.8;0.6;.193;43;30;.589;2019-2020
Dallas;86;20;5;2;0;1;9;149;4.9;25;1.592;1.9;0.5;.206;43;32;.573;2019-2020
Milwaukee;85;7;5;2;0;0;12;151;10.1;27;1.598;1.7;0.5;.201;56;17;.767;2019-2020
Phoenix;84;3;3;1;0;3;0;140;0.2;27;1.661;1.8;0.5;.226;34;39;.466;2019-2020
Indiana;84;5;1;1;0;3;6;129;2.0;18;1.614;2.0;0.6;.170;45;28;.616;2019-2020
Toronto;80;3;1;0;0;9;0;140;6.2;32;1.627;1.7;0.6;.210;53;19;.736;2019-2020
Orlando;76;5;0;1;0;3;4;136;-1.0;25;1.608;1.9;0.6;.198;33;40;.452;2019-2020
Denver;75;13;1;2;0;3;1;134;2.1;12;1.636;1.9;0.6;.183;46;27;.630;2019-2020
Cleveland;72;1;1;2;0;0;2;134;-7.9;15;1.573;1.4;0.4;.172;19;46;.292;2019-2020
Memphis;72;3;1;1;0;4;1;140;-1.1;33;1.633;1.8;0.5;.183;34;39;.466;2019-2020
Atlanta;71;3;11;1;0;4;1;152;-8.0;21;1.589;1.5;0.5;.204;20;47;.299;2019-2020
New Orleans;71;4;2;1;0;4;1;139;-1.3;20;1.630;1.6;0.5;.186;30;42;.417;2019-2020
Brooklyn;70;3;5;2;0;1;3;139;-0.6;23;1.606;1.6;0.4;.199;35;37;.486;2019-2020
Detroit;70;6;0;12;0;6;1;136;-3.6;28;1.612;1.6;0.5;.194;20;46;.303;2019-2020
Miami;65;7;0;0;0;3;0;137;2.9;10;1.657;1.7;0.5;.234;44;29;.603;2019-2020
New York;64;1;0;0;0;7;3;143;-6.5;38;1.552;1.5;0.5;.182;21;45;.318;2019-2020
Utah;58;5;1;1;0;0;7;132;2.5;30;1.560;1.5;0.4;.208;44;28;.611;2019-2020
L.A. Clippers;57;1;3;0;0;3;1;150;6.4;27;1.571;1.6;0.5;.233;49;23;.681;2019-2020
Minnesota;52;3;2;1;0;2;0;142;-4.3;16;1.590;1.6;0.6;.209;19;45;.297;2019-2020
