Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
Dallas;3635;54.5;0.264;12.6;27.5;52.5;0.230;11.9;26.0;2019-2020
Philadelphia;3519;53.4;0.255;14.2;28.1;52.3;0.285;13.8;24.7;2019-2020
Brooklyn;3496;52.0;0.267;14.8;28.0;51.1;0.243;12.4;26.4;2019-2020
Portland;3567;53.3;0.242;12.6;26.6;53.0;0.270;12.7;28.8;2019-2020
Memphis;3514;52.8;0.240;14.7;27.1;52.1;0.277;14.3;26.7;2019-2020
Phoenix;3519;53.2;0.271;14.5;26.1;53.9;0.280;15.2;26.6;2019-2020
Orlando;3514;50.6;0.256;12.9;26.7;53.5;0.228;14.7;25.1;2019-2020
San Antonio;3443;53.1;0.262;12.3;23.3;54.2;0.249;12.9;24.9;2019-2020
Sacramento;3491;53.4;0.230;14.4;25.8;54.3;0.285;15.1;26.4;2019-2020
New Orleans;3486;53.9;0.256;15.6;28.7;53.2;0.268;13.9;27.1;2019-2020
Washington;3471;52.3;0.270;13.6;26.2;55.8;0.297;15.6;28.8;2019-2020
Charlotte;3150;50.4;0.252;15.0;28.0;54.6;0.210;14.8;29.4;2019-2020
Chicago;3135;51.5;0.231;15.3;26.7;54.6;0.315;18.1;28.1;2019-2020
New York;3193;50.1;0.263;14.3;30.0;54.1;0.299;13.8;25.8;2019-2020
Atlanta ;3256;51.5;0.258;15.5;26.7;54.3;0.303;14.3;29.2;2019-2020
Detroit;3193;52.9;0.261;15.5;27.7;54.1;0.239;14.2;28.3;2019-2020
Cleveland;3145;52.2;0.227;16.5;29.6;56.0;0.214;13.0;26.2;2019-2020
Minnesota;3112;51.4;0.277;14.6;26.4;54.1;0.279;14.7;26.9;2019-2020
Golden State;3145;49.7;0.264;14.6;25.5;55.3;0.247;15.4;27.8;2019-2020
Milwaukee  ;3956;55.0;0.255;13.3;25.0;50.3;0.221;12.8;24.3;2018-2019
Toronto;3976;54.3;0.247;13.8;26.5;50.9;0.249;14.7;27.4;2018-2019
Golden State;3961;56.5;0.227;13.9;25.7;50.8;0.266;13.2;27.3;2018-2019
Denver;3946;52.7;0.232;13.6;30.8;52.1;0.257;13.7;25.6;2018-2019
Houston;3966;54.2;0.279;13.5;26.9;52.5;0.274;15.2;30.0;2018-2019
Portland;3971;52.8;0.258;13.7;30.8;51.6;0.253;12.3;26.1;2018-2019
Philadelphia;3961;53.2;0.312;14.4;27.8;51.2;0.268;12.3;25.9;2018-2019
Utah;3951;53.8;0.295;14.9;27.5;50.7;0.251;13.7;24.1;2018-2019
Boston;3956;53.4;0.215;12.7;25.7;51.4;0.259;15.0;27.2;2018-2019
Oklahoma City;3971;51.4;0.266;13.4;29.8;52.3;0.271;16.0;26.2;2018-2019
Indiana;3941;53.0;0.242;13.9;26.9;51.6;0.243;15.8;27.8;2018-2019
L.A. Clippers;3966;52.9;0.326;14.1;26.3;51.4;0.288;12.7;27.8;2018-2019
San Antonio;3961;53.4;0.237;12.2;24.6;52.8;0.225;12.2;25.6;2018-2019
Brooklyn;3996;52.0;0.284;14.6;28.2;51.2;0.247;13.1;28.0;2018-2019
Orlando;3956;51.8;0.216;13.3;25.9;51.5;0.239;13.1;24.6;2018-2019
Detroit;3971;50.9;0.262;14.0;29.1;52.6;0.279;14.2;25.5;2018-2019
Charlotte;3966;51.4;0.257;12.2;26.8;53.8;0.227;13.5;26.9;2018-2019
Miami;3946;51.5;0.247;14.9;29.1;51.0;0.262;14.3;26.9;2018-2019
Sacramento;3946;52.4;0.244;12.8;26.8;53.3;0.269;15.3;28.7;2018-2019
L.A. Lakers;3956;52.7;0.257;15.0;27.0;51.6;0.245;13.7;27.5;2018-2019
Minnesota;3966;51.1;0.267;12.9;29.2;53.8;0.247;14.5;29.1;2018-2019
Dallas;3956;51.9;0.291;14.2;27.3;52.2;0.246;13.0;26.6;2018-2019
Memphis;3976;50.8;0.272;14.3;24.7;52.1;0.296;15.5;27.6;2018-2019
New Orleans;3951;52.9;0.254;14.2;28.5;53.2;0.253;13.0;27.1;2018-2019
Washington;3986;53.1;0.266;13.6;25.2;54.6;0.255;15.2;29.4;2018-2019
Atlanta ;3971;52.2;0.255;16.2;28.4;54.1;0.313;14.3;28.2;2018-2019
Chicago;3981;50.5;0.235;14.1;24.2;54.1;0.247;13.3;27.3;2018-2019
Cleveland;3951;50.3;0.236;13.8;28.2;56.4;0.235;12.8;26.8;2018-2019
Phoenix;3976;51.4;0.259;15.3;24.7;54.5;0.313;15.3;31.7;2018-2019
New York;3956;49.0;0.270;14.0;26.4;53.3;0.265;13.1;28.3;2018-2019
